direction_name,wheelchair_accessible,block_id,trip_id,direction_id,shape_id,route_id,service_id,trip_headsign
Southbound,1,a_401047_Timetable_-_2026-01,1000__401047_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401002_Timetable_-_2026-01,1001__401002_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401028_Timetable_-_2026-01,1002__401028_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_403008_Timetable_-_2026-01,1003__403008_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401009_Timetable_-_2026-01,1004__401009_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401047_Timetable_-_2026-01,1005__401047_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401002_Timetable_-_2026-01,1006__401002_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401028_Timetable_-_2026-01,1007__401028_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_403008_Timetable_-_2026-01,1008__403008_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401009_Timetable_-_2026-01,1009__401009_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Northbound,1,a_401003_Timetable_-_2026-01,100__401003_Timetable_-_2026-01,0,100.0.1046829421_Timetable_-_2026-01,405,Weekday_merged_94404,Delpark Homes Centre
Southbound,1,a_401047_Timetable_-_2026-01,1010__401047_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401002_Timetable_-_2026-01,1011__401002_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401028_Timetable_-_2026-01,1012__401028_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401009_Timetable_-_2026-01,1013__401009_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401045_Timetable_-_2026-01,1014__401045_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401002_Timetable_-_2026-01,1015__401002_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_403008_Timetable_-_2026-01,1016__403008_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401009_Timetable_-_2026-01,1017__401009_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401045_Timetable_-_2026-01,1018__401045_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401002_Timetable_-_2026-01,1019__401002_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401087_Timetable_-_2026-01,101__401087_Timetable_-_2026-01,1,100.0.1046829422_Timetable_-_2026-01,405,Weekday_merged_94404,Oshawa Centre Terminal
Southbound,1,a_401028_Timetable_-_2026-01,1020__401028_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_403008_Timetable_-_2026-01,1021__403008_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401028_Timetable_-_2026-01,1022__401028_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_403008_Timetable_-_2026-01,1023__403008_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401009_Timetable_-_2026-01,1024__401009_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401045_Timetable_-_2026-01,1025__401045_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401002_Timetable_-_2026-01,1026__401002_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401009_Timetable_-_2026-01,1027__401009_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401002_Timetable_-_2026-01,1028__401002_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401028_Timetable_-_2026-01,1029__401028_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Northbound,1,a_401014_Timetable_-_2026-01,102__401014_Timetable_-_2026-01,0,100.0.1046829421_Timetable_-_2026-01,405,Weekday_merged_94404,Delpark Homes Centre
Southbound,1,a_403010_Timetable_-_2026-01,1030__403010_Timetable_-_2026-01,1,100.0.22739591314_Timetable_-_2026-01,901,Weekday_merged_94404,C - Oshawa Centre Terminal
Southbound,1,a_401028_Timetable_-_2026-01,1031__401028_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_403010_Timetable_-_2026-01,1032__403010_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401009_Timetable_-_2026-01,1033__401009_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
Southbound,1,a_401045_Timetable_-_2026-01,1034__401045_Timetable_-_2026-01,1,100.0.2273959138_Timetable_-_2026-01,901,Weekday_merged_94404,A - Lakeview Park
