stop_desc,stop_url,stop_name,stop_lat,stop_code,stop_id,location_type,preferred,stop_timezone,stop_lon,parent_station,zone_id,wheelchair_boarding
,,Harmony Southbound @ Eastbourne,43.90900100000001,1146,1146,0,2,,-78.836235,,,1
,,Harmony Southbound @ Regent,43.907603,1147,1147,0,2,,-78.835614,,,1
,,Harmony Southbound @ King,43.904711,1148,1148,0,1,,-78.83438599999998,,,1
,,Harmony Southbound @ Palace,43.90330500000001,1149,1149,0,2,,-78.833634,,,1
,,Country Lane Northbound @ Gartshore,43.898544,115,115,0,2,,-78.969667,,,1
,,Harmony Southbound @ Hoskin,43.901176,1150,1150,0,2,,-78.83266999999998,,,1
,,Southbound @ 188 Harmony,43.899357,1151,1151,0,2,,-78.831854,,,1
,,Harmony Southbound @ Florell,43.896955,1152,1152,0,2,,-78.830782,,,1
,,Harmony Northbound @ Old Harmony,43.89775,1153,1153,0,2,,-78.830938,,,1
,,Harmony Northbound @ Hoskin,43.899752,1154,1154,0,2,,-78.831838,,,1
,,Harmony Northbound @ Palace,43.90378813,1155,1155,0,2,,-78.833706,,,1
,,King Westbound @ Harmony,43.90424800000001,1156,1156,0,1,,-78.835009,,,1
,,Bond Northbound @ Riverside,43.90426723,1157,1157,0,2,,-78.837534,,,1
,,Bond Westbound @ Claymore (West side stop),43.904135,1159,1159,0,1,,-78.844005,,,1
,,Country Lane Northbound @ Randolph,43.900852,116,116,0,2,,-78.970374,,,1
,,Bond Westbound @ Patricia,43.902664,1161,1161,0,2,,-78.84988199999998,,,1
,,Bond Westbound @ Ritson,43.900548,1163,1163,0,1,,-78.855176,,,1
,,Bond Westbound @ Mary,43.899252,1164,1164,0,2,,-78.86069,,,1
,,Bond Westbound @ Simcoe,43.89857640000001,1165,1165,0,1,,-78.8638232,,,1
,,Bond Westbound @ Centre,43.8980427,1166,1166,0,1,,-78.86599339999998,,,1
,,Bond Westbound @ Arena,43.8971812,1167,1167,0,2,,-78.8700233,,,1
,,Bond Westbound @ Park,43.896215,1169,1169,0,1,,-78.87463099999998,,,1
,,Country Lane Northbound @ Twin Streams,43.9031059,117,117,0,2,,-78.9716001,,,1
,,Bond Westbound @ Gibbons,43.895268,1171,1171,0,2,,-78.878156,,,1
,,Bond Westbound @ Stevenson,43.89388328,1172,1172,0,1,,-78.884232,,,1
,,King Westbound @ Waverly,43.892156,1173,1173,0,2,,-78.888154,,,1
,,King Westbound @ Thornton,43.89066900000001,1174,1174,0,1,,-78.894721,,,1
,,King Eastbound @ Thornton,43.8910876,1175,1175,0,1,,-78.8920772,,,1
,,King Eastbound @ Waverly,43.891958,1176,1176,0,2,,-78.88811099999998,,,1
,,King Eastbound @ Stevenson,43.89334800000001,1177,1177,0,1,,-78.88199,,,1
,,King Eastbound @ Gibbons,43.89406180000001,1178,1178,0,2,,-78.8787275,,,1
,,Country Lane Northbound @ Medland,43.907044,118,118,0,2,,-78.973335,,,1
,,King Eastbound @ Warren,43.895479,1181,1181,0,1,,-78.872558,,,1
,,King Eastbound @ Midtown,43.896359,1183,1183,0,2,,-78.868644,,,1
,,King Eastbound @ Mary,43.898339,1185,1185,0,2,,-78.860061,,,1
,,King Eastbound @ Drew,43.899141,1186,1186,0,2,,-78.856595,,,1
,,King Eastbound @ Rowe,43.89992500000001,1187,1187,0,1,,-78.853177,,,1
,,King Eastbound @ Central Park,43.901002,1188,1188,0,2,,-78.848573,,,1
,,Country Lane Northbound @ Taunton,43.9105664,119,119,0,2,,-78.9766051,,,1
,,King Eastbound @ Wilson,43.902215,1190,1190,0,1,,-78.843385,,,1
,,King Eastbound @ Farewell,43.90308117761166,1192,1192,0,2,,-78.83979031,,,1
,,King Eastbound @ Riverside,43.90361,1193,1193,0,2,,-78.837145,,,1
,,King Eastbound @ Harmony,43.904153,1194,1194,0,2,,-78.834637,,,1
,,King Eastbound @ Keewatin,43.905856,1196,1196,0,2,,-78.82687,,,1
,,King Eastbound @ Rockcliffe,43.905817,1198,1198,0,2,,-78.820278,,,1
,,King Eastbound @ Eastlawn,43.90618799574203,1199,1199,0,2,,-78.81680498649324,,,1
,,Northbound @ 3093 Garden,43.901464,12,12,0,2,,-78.940766,,,1
,,King Eastbound @ Townline,43.906406,1200,1200,0,1,,-78.813775,,,1
,,Courtice Southbound @ Moyse (Courtice Community Complex),43.914105,1217,1217,0,2,,-78.778936,,,1
,,Highway 2 Westbound @ Courtice,43.911594,1218,1218,0,1,,-78.779235,,,1
,,Highway 2 Westbound @ Trulls,43.911048,1219,1219,0,1,,-78.788115,,,1
,,Highway 2 Westbound @ Sandringham,43.909174,1220,1220,0,2,,-78.79601,,,1
,,Highway 2 Westbound @ Prestonvale,43.908585,1221,1221,0,1,,-78.797674,,,1
,,Highway 2 Westbound @ Centerfield,43.90764200000001,1222,1222,0,1,,-78.803571,,,1
,,Highway 2 Westbound @ Varcoe,43.907163,1223,1223,0,2,,-78.807587,,,1
,,Highway 2 Eastbound @ Darlington Boulevard,43.906907,1224,1224,0,2,,-78.808273,,,1
,,Highway 2 Eastbound @ Old Kingston,43.907393,1225,1225,0,1,,-78.803827,,,1
,,Courtice Southbound @ Highway 2,43.910864,1226,1226,0,2,,-78.777544,,,1
,,Sandringham Westbound @ Short,43.909137,1227,1227,0,2,,-78.778369,,,1
,,Avondale Southbound @ Stagemaster,43.907937,1228,1228,0,2,,-78.779807,,,1
,,Avondale Southbound @ Brownstone,43.90579242,1229,1229,0,2,,-78.780964,,,1
,,Avondale Southbound @ Farmington,43.904046,1230,1230,0,2,,-78.781861,,,1
,,Trulls Northbound @ Avondale,43.903403,1231,1231,0,2,,-78.784876,,,1
,,Northbound @ 2501 Trulls,43.90456300000001,1232,1232,0,2,,-78.785437,,,1
,,Sandringham Westbound @ Bushford,43.9059139,1233,1233,0,2,,-78.78781669999998,,,1
,,Sandringham Westbound @ Yorkville,43.90300993000001,1234,1234,0,2,,-78.790682,,,1
,,King Eastbound @ Simcoe,43.89762300000001,1242,1242,0,1,,-78.863176,,,1
,,Highway 2 Eastbound @ Prestonvale,43.908429,1244,1244,0,1,,-78.797456,,,1
,,Highway 2 Eastbound @ Trulls,43.910829,1245,1245,0,1,,-78.787906,,,1
,,Taunton Eastbound @ Cochrane,43.912852,125,125,0,2,,-78.96736199999998,,,1
,,Olive Westbound @ Viewmount,43.896941,1252,1252,0,2,,-78.821096,,,1
,,Olive Westbound @ Florell,43.89598841,1255,1255,0,2,,-78.82724399999998,,,1
,,Olive Westbound @ Elmridge,43.89510700000001,1257,1257,0,1,,-78.83126799999998,,,1
,,Olive Westbound @ Poplar,43.894441,1258,1258,0,2,,-78.834343,,,1
,,Olive Westbound @ Baldwin,43.89386600000001,1259,1259,0,2,,-78.836928,,,1
,,Olive Westbound @ Wilson,43.893383,1260,1260,0,2,,-78.839031,,,1
,,Olive Westbound @ Highland,43.892828,1261,1261,0,2,,-78.841487,,,1
,,Olive Westbound @ Lasalle,43.892535,1262,1262,0,2,,-78.842817,,,1
,,Olive Westbound @ Verdun,43.891779,1263,1263,0,2,,-78.846057,,,1
,,Olive Westbound @ Ritson,43.890989,1264,1264,0,2,,-78.849481,,,1
,,Olive Westbound @ Drew,43.89046,1265,1265,0,2,,-78.851768,,,1
,,Olive Westbound @ Court,43.889641,1266,1266,0,2,,-78.855284,,,1
,,Cochrane Southbound @ Medland,43.909537,127,127,0,2,,-78.966002,,,1
,,Gibb Westbound @ Montrave,43.8881292,1276,1276,0,2,,-78.87118169999998,,,1
,,Gibb Westbound @ Grenfell,43.887291,1277,1277,0,2,,-78.874471,,,1
,,Westbound @ 450 Gibb,43.88680200000001,1278,1278,0,2,,-78.87697,,,1
,,Gibb Westbound @ Stevenson (West side stop),43.88595200000001,1280,1280,0,2,,-78.880912,,,1
,,Gibb Westbound @ Waverly,43.885118,1281,1281,0,2,,-78.884574,,,1
,,Gibb Westbound @ Vancouver,43.884493,1282,1282,0,2,,-78.887244,,,1
,,Gibb Eastbound @ Vancouver,43.884355,1283,1283,0,2,,-78.88744699999998,,,1
,,Gibb Eastbound @ Waverly,43.885076,1284,1284,0,2,,-78.884308,,,1
,,Gibb Eastbound @ Stevenson (West side stop),43.885932,1285,1285,0,2,,-78.88051299999998,,,1
,,Gibb Eastbound @ Stevenson (East side stop),43.88625932,1286,1286,0,2,,-78.87870599999998,,,1
,,Eastbound @ 431 Gibb,43.886764,1287,1287,0,2,,-78.876312,,,1
,,Gibb Eastbound @ Grenfell,43.887267,1288,1288,0,2,,-78.874165,,,1
,,Gibb Eastbound @ Montrave,43.88775900000001,1289,1289,0,2,,-78.87204699999998,,,1
,,Cochrane Southbound @ Twin Streams,43.905578,129,129,0,2,,-78.964539,,,1
,,Olive Eastbound @ Court,43.889552,1297,1297,0,2,,-78.855367,,,1
,,Olive Eastbound @ Drew,43.890302,1298,1298,0,2,,-78.852093,,,1
,,Olive Eastbound @ Oshawa Boulevard,43.891187,1299,1299,0,2,,-78.848202,,,1
,,Garden Northbound @ Bassett (North stop),43.903334,13,13,0,2,,-78.941556,,,1
,,Olive Eastbound @ Lasalle,43.89248,1300,1300,0,2,,-78.842598,,,1
,,Olive Eastbound @ Highland,43.892801,1301,1301,0,2,,-78.841125,,,1
,,Olive Eastbound @ Windsor,43.893281,1302,1302,0,2,,-78.839043,,,1
,,Olive Eastbound @ Guelph,43.89384600000001,1303,1303,0,2,,-78.836642,,,1
,,Olive Eastbound @ Poplar,43.894358,1304,1304,0,2,,-78.834306,,,1
,,Olive Eastbound @ Elmridge,43.89498,1305,1305,0,1,,-78.831355,,,1
,,Olive Eastbound @ Harcourt,43.895449,1306,1306,0,1,,-78.829032,,,1
,,Olive Eastbound @ Florell,43.89581297,1307,1307,0,2,,-78.827236,,,1
,,Olive Eastbound @ Dianne,43.89644,1308,1308,0,2,,-78.824685,,,1
,,Olive Eastbound @ Keewatin,43.896856,1309,1309,0,2,,-78.821788,,,1
,,Rosswell Northbound @ Bloor,43.891145,1339,1339,0,2,,-78.798484,,,1
,,Northbound @ 1185 Mary,43.928625,1353,1353,0,2,,-78.873907,,,1
,,Nonquon Northbound @ Mary,43.931137,1354,1354,0,2,,-78.87249799999998,,,1
,,Mary Northbound @ Nonquon,43.93247800000001,1355,1355,0,2,,-78.87221,,,1
,,Mary Northbound @ Taunton,43.93385593,1356,1356,0,2,,-78.872776,,,1
,,Park Southbound @ King,43.895694,1359,1359,0,2,,-78.873767,,,1
,,Park Southbound @ Pine,43.893793,1360,1360,0,2,,-78.87290299999998,,,1
,,Park Southbound @ Elmgrove,43.891968,1361,1361,0,2,,-78.872083,,,1
,,Park Southbound @ Marland,43.88699031,1362,1362,0,2,,-78.869855,,,1
,,Park Northbound @ John,43.8922679,1363,1363,0,2,,-78.8719904,,,1
,,Park Northbound @ King,43.8946786,1364,1364,0,2,,-78.873147,,,1
,,Beatrice Westbound @ Sycamore,43.929548,1371,1371,0,2,,-78.869207,,,1
,,Beatrice Westbound @ Mary,43.926963,1372,1372,0,2,,-78.872625,,,1
,,McQuay Southbound @ Roan,43.881419,138,138,0,2,,-78.966575,,,1
,,McQuay Southbound @ Kennett,43.879842,139,139,0,2,,-78.96569599999998,,,1
,,King Westbound @ Beaver,43.918275,1391,1391,0,1,,-78.585761,,,1
,,North Northbound @ Monroe,43.921392,1392,1392,0,2,,-78.593264,,,1
,,Main Southbound @ Millson Hill,43.98281,1395,1395,0,2,,-78.62001,,,1
,,Main Southbound @ Centreview,43.977406,1396,1396,0,2,,-78.617544,,,1
,,Garden Northbound @ Dryden,43.904811,14,14,0,2,,-78.942227,,,1
,,McQuay Southbound @ Moonstone,43.878277,140,140,0,2,,-78.963114,,,1
,,Mill Northbound @ King,43.917763,1408,1408,0,2,,-78.588888,,,1
,,McQuay Southbound @ Allayden,43.876649,141,141,0,2,,-78.962215,,,1
,,North Southbound @ Grady,43.921133,1410,1410,0,2,,-78.593093,,,1
,,King Westbound @ North,43.916949,1411,1411,0,2,,-78.591266,,,1
,,King Eastbound @ Baldwin,43.91693200000001,1412,1412,0,2,,-78.590838,,,1
,,King Westbound @ Pedwell,43.915658,1413,1413,0,1,,-78.59710699999998,,,1
,,King Eastbound @ Massey,43.915331,1414,1414,0,2,,-78.597667,,,1
,,King Westbound @ Rudell,43.914759,1415,1415,0,2,,-78.60070899999998,,,1
,,Highway 2 Eastbound @ Rudell,43.914433,1416,1416,0,2,,-78.60155,,,1
,,King Westbound @ Liberty,43.910554,1430,1430,0,2,,-78.680784,,,1
,,King Westbound @ George,43.911481,1431,1431,0,2,,-78.68621,,,1
,,King Westbound @ Temperance,43.91215300000001,1432,1432,0,1,,-78.688526,,,1
,,King Westbound @ Roenigk,43.912962,1433,1433,0,2,,-78.695055,,,1
,,Highway 2 Westbound @ Boswell,43.909692,1436,1436,0,2,,-78.71688,,,1
,,King Eastbound @ Roenigk,43.912771,1452,1452,0,2,,-78.694976,,,1
,,King Eastbound @ Division,43.911662,1454,1454,0,2,,-78.687321,,,1
,,King Eastbound @ Ontario,43.911026,1455,1455,0,2,,-78.684811,,,1
,,King Eastbound @ Liberty,43.91041,1456,1456,0,2,,-78.680907,,,1
,,Scugog Southbound @ Longworth,43.924876,1476,1476,0,2,,-78.697139,,,1
,,Scugog Southbound @ Jackman,43.920873,1477,1477,0,2,,-78.695321,,,1
,,Scugog Southbound @ O'Dell,43.916997,1478,1478,0,2,,-78.69368299999998,,,1
,,Church Eastbound @ Scugog Street,43.913909,1479,1479,0,2,,-78.691688,,,1
,,Church Eastbound @ Temperance,43.913138,1480,1480,0,1,,-78.688545,,,1
,,Liberty Southbound @ Park,43.90430979,1494,1494,0,2,,-78.67758996,,,1
,,Simpson Northbound @ King,43.911329,1498,1498,0,1,,-78.675014,,,1
,,Prince Eastbound @ Liberty (Lakeridge Health Bowmanville),43.908346,1499,1499,0,2,,-78.678921,,,1
,,Garden Northbound @ Willowbrook,43.908512,15,15,0,2,,-78.943865,,,1
,,Clarington Boulevard Southbound @ Prince William,43.908456,1504,1504,0,1,,-78.70716,,,1
,,Burns Eastbound @ Henry,43.870396,151,151,0,2,,-78.943946,,,1
,,Pine Grove Westbound @ Nordane,43.825165,1519,1519,0,2,,-79.145977,,,1
,,Burns Eastbound @ Centre,43.871125,152,152,0,2,,-78.940651,,,1
,,Strouds Lane Eastbound @ Autumn,43.825601,1547,1547,0,2,,-79.132569,,,1
,,Strouds Lane Eastbound @ Rosebank,43.826216,1548,1548,0,2,,-79.130377,,,1
,,Strouds Lane Northbound @ Fernam,43.827652,1574,1574,0,2,,-79.126176,,,1
,,Strouds Lane Eastbound @ Foxwood Trail,43.828696,1575,1575,0,2,,-79.124103,,,1
,,Strouds Lane Westbound @ Whites (West side stop),43.829426,1586,1586,0,2,,-79.121337,,,1
,,Kingston Westbound @ Audley,43.868228,1587,1587,0,2,,-78.995249,,,1
,,Kingston Westbound @ Alexanders Crossing,43.86702,1588,1588,0,2,,-79.00077,,,1
,,Kingston Westbound @ Wicks,43.8643554,1590,1590,0,2,,-79.0125542,,,1
,,Kingston Westbound @ Salem,43.8634084,1591,1591,0,1,,-79.0168413,,,1
,,Westbound @ 84 Kingston,43.862111,1593,1593,0,2,,-79.022563,,,1
,,Kingston Westbound @ Harwood,43.8611712,1594,1594,0,1,,-79.0267418,,,1
,,Westbound @ 132 Kingston,43.859995,1595,1595,0,2,,-79.031718,,,1
,,Kingston Westbound @ Chapman,43.859254,1596,1596,0,2,,-79.035043,,,1
,,Kingston Westbound @ Westney Heights Plaza,43.85832,1597,1597,0,2,,-79.03932,,,1
,,Kingston Westbound @ Westney,43.85744,1598,1598,0,1,,-79.043041,,,1
,,Kingston Westbound @ Mill,43.856298,1599,1599,0,2,,-79.047905,,,1
,,Garden Northbound @ Meadowglen,43.91038600000001,16,16,0,2,,-78.944674,,,1
,,Kingston Westbound @ Church,43.85465700000001,1600,1600,0,1,,-79.05529,,,1
,,Kingston Westbound @ Elizabeth,43.853329,1601,1601,0,2,,-79.060678,,,1
,,Kingston Westbound @ Notion,43.852381,1602,1602,0,2,,-79.064752,,,1
,,Kingston Westbound @ Bainbridge,43.8501483,1603,1603,0,2,,-79.0710031,,,1
,,Kingston Westbound @ Brock Road,43.84772,1604,1604,0,1,,-79.07452499999998,,,1
,,Kingston Westbound @ Valley Farm,43.84172800000001,1607,1607,0,2,,-79.083084,,,1
,,Kingston Westbound @ Glenanna,43.83815,1608,1608,0,1,,-79.08748,,,1
,,Kingston Westbound @ Liverpool,43.83548,1609,1609,0,1,,-79.09104,,,1
,,Kingston Westbound @ Walnut,43.83097019,1610,1610,0,2,,-79.09672757,,,1
,,Kingston Westbound @ Dixie,43.82906,1611,1611,0,1,,-79.098675,,,1
,,Kingston Westbound @ Fairport,43.823716,1612,1612,0,1,,-79.106421,,,1
,,Westbound @ 804 Kingston,43.821703,1613,1613,0,2,,-79.111949,,,1
,,Kingston Westbound @ Steeple Hill,43.817215,1615,1615,0,1,,-79.118076,,,1
,,Kingston Westbound @ Rosebank,43.81332,1616,1616,0,2,,-79.123324,,,1
,,Kingston Westbound @ Rougemount,43.809718,1617,1617,0,2,,-79.129028,,,1
,,West Shore Southbound @ Vistula,43.82025,1645,1645,0,2,,-79.105278,,,1
,,Brock Street Northbound @ Arthur,43.86900700000001,166,166,0,2,,-78.937411,,,1
,,West Shore Southbound @ Samford,43.817692,1663,1663,0,2,,-79.104211,,,1
,,Brock Street Northbound @ St Peter,43.87108400000001,167,167,0,1,,-78.93832,,,1
,,West Shore Northbound @ Samford,43.817582,1674,1674,0,2,,-79.104031,,,1
,,Brock Street Northbound @ Burns,43.872514,168,168,0,2,,-78.938948,,,1
,,Oklahoma Westbound @ West Shore,43.813826,1685,1685,0,2,,-79.103099,,,1
,,Oklahoma Westbound @ Hillcrest,43.813024,1687,1687,0,2,,-79.10671499999998,,,1
,,Bayly Eastbound @ West Shore,43.821218,1689,1689,0,2,,-79.105446,,,1
,,Brock Street Northbound @ Trent,43.873574,169,169,0,2,,-78.93940499999998,,,1
,,Bayly Eastbound @ 957 Bayly,43.822764,1690,1690,0,2,,-79.102195,,,1
,,Bayly Eastbound @ St Martins,43.827085,1693,1693,0,2,,-79.092836,,,1
,,Bayly Eastbound @ Liverpool,43.828787,1694,1694,0,2,,-79.08666599999998,,,1
,,Bayly Eastbound @ Pickering Station,43.82915733045823,1695,1695,0,2,,-79.08495872161193,,,1
,,Garden Northbound @ Cork,43.91380800000001,17,17,0,2,,-78.946197,,,1
,,Brock Street Northbound @ Gilbert,43.87664417732835,170,170,0,2,,-78.9408107746133,,,1
,,Alyssum Eastbound @ Lublin,43.824092,1701,1701,0,2,,-79.075833,,,1
,,Sandy Beach Southbound @ Parkham,43.819293,1703,1703,0,2,,-79.072432,,,1
,,Montgomery Park Eastbound @ OPG Pickering,43.8143165023665,1706,1706,0,2,,-79.06519369171588,,,1
,,Montgomery Park Eastbound @ Brock Road,43.815436,1707,1707,0,2,,-79.06028999999998,,,1
,,McKay Northbound @ Montgomery Park,43.819181,1709,1709,0,2,,-79.05741,,,1
,,Brock Street Northbound @ Dundas,43.879703,171,171,0,1,,-78.94210099999998,,,1
,,Squires Beach Northbound @ McKay,43.821982,1711,1711,0,2,,-79.05191499999998,,,1
,,Northbound @ 1111 Squires Beach,43.824595,1712,1712,0,2,,-79.053029,,,1
,,Clements Westbound @ Squires Beach,43.827022,1713,1713,0,2,,-79.054705,,,1
,,Westbound @ 1850 Clements,43.8266135,1714,1714,0,2,,-79.05666669999998,,,1
,,Westbound @ 1768 Clements,43.825697,1715,1715,0,2,,-79.060627,,,1
,,Clements Westbound @ Brock Road,43.825146,1716,1716,0,1,,-79.063235,,,1
,,Brock Road Northbound @ Quigley,43.82876000000001,1719,1719,0,2,,-79.065535,,,1
