,station_id,station_uuid,lon,capacity,is_charging_station,lat,name,address,city
34,176,29d53eee-ad11-4d5c-b0b6-1e3b1d11d8e9,176 - KR 24 con CL 80,4.669656,-74.063153,Av. Carrera 24 entre Calle 80 y Calle 82,27,False,bogota_co
35,183,82b899be-331c-4b5b-8c99-7da388829a57,183 - Av. NQS con CL 75,4.6705673,-74.0704465,Av. Carrera 30 entre Calle 76bis y Calle 75,31,False,bogota_co
36,186,8997858f-326a-4295-8c14-2020f328324c,186 - AC 80 con KR 27,4.67006,-74.0646763,Av. Calle 80 entre Carrera 27 y Carrera 27a,23,False,bogota_co
37,198,be9080e2-806b-44b4-adab-d045ee05f079,198 - DG 92 con CL 94,4.68131,-74.055367,Diagonal 92 entre Calle 93A y Calle 94,27,False,bogota_co
38,207,09d274ef-2d6f-4bfd-8ed3-87aac036fc55,207 - KR 7 con CL 118,4.694841,-74.0325,Carrera 7 entre Calle 117 y Calle 118,23,False,bogota_co
39,212,f4b4ec12-2386-4631-8bc0-d43ce2d31535,212 - CL 106 con KR 7A,4.6862872,-74.0381428,Calle 106 entre Carrera 7A y Carrera 8,23,False,bogota_co
40,214,cdfd7a70-4c2d-4df2-9b2f-0ebc15e4b4d3,214 - CL 80 con KR 12,4.665188,-74.055023,Calle 80 entre Carrera 12 y Carrera 12A,23,False,bogota_co
41,217,84ab2d2f-e55a-4dba-a23f-f8407ca45a1b,217 - KR 8A con CL 97A,4.6793824,-74.0413531,Carrera 8A entre Calle 97A y Calle 98,27,False,bogota_co
42,223,4425fb11-fbcb-484a-ae55-3d1900d9dc03,223 - Parque Santa Paula,4.6933963,-74.0426191,Calle 111 entre Carrera 14 y Carrera 14B,31,False,bogota_co
43,234,ba7a33a7-a61d-4b18-93e7-8d7a00f3225d,234 - KR 13 con CL 125A,4.702071,-74.039678,Carrera 13 entre Calle 125A y Calle 123,23,False,bogota_co
44,245,7f8e282a-566e-4b47-a75c-1dfa5fe2f4f9,245 - CL 122 con KR 18C,4.701588,-74.048503,Calle 122 entre Carrera 18 y Carrera 18C,23,False,bogota_co
45,249,d696d4da-efa3-444a-8f22-6f60f1e9ea50,249 - Av. NQS con Américas,4.624719,-74.082128,Av. Calle 25 entre Av. Carrera 30 y Carrera 29A,23,False,bogota_co
46,251,a9e289cc-9c3c-4944-8428-c6446b8e5891,251 - AV. NQS con CL 68,4.663171,-74.075751,Av. Carrera 30 entre Calle 68 y Calle 67,27,False,bogota_co
47,252,5a0b586a-0f1e-4ab6-aa3e-cb5e05f285fd,252 - AC 26 con KR 23,4.621316,-74.0766031,Av. Calle 26 entre Carrera 23 y Carrera 20A,31,False,bogota_co
48,259,4082cc32-e558-45d4-91c7-29b7b8ff53ce,082 - CL 40A con KR 28,4.6309,-74.078967,Calle 40A entre Carrera 28 y Carrera 29,23,False,bogota_co
49,260,3596cc09-19d1-47d4-850d-116d7d6eb0e4,260 - CL 80 con KR 18,4.6672121,-74.0585797,Calle 80 entre Carrera 18 y Carrera 19 ,27,False,bogota_co
